date,tier1_count,tier2_count,total_ais
2026-03-08,0,37,37
2026-03-09,0,317,317
2026-03-10,0,299,299
2026-03-11,0,309,309
2026-03-12,0,318,318
2026-03-13,0,306,306
2026-03-14,0,2881,2881
2026-03-15,0,15516,15516
2026-03-16,0,62064,62064
2026-03-17,0,62064,62064
2026-03-18,0,62064,62064
2026-03-19,0,62064,62064
2026-03-20,0,33618,33618
2026-03-21,0,60000,60000
2026-03-22,0,141540,141540
2026-03-23,0,141891,141891
2026-03-24,0,135500,135500
2026-03-25,0,6500,6500
