source_type,title,content,url,published_at,region,feed_handle,channel,category
gdelt_gkg,scoop.co.nz,,"<PAGE_LINKS>https://info.scoop.co.nz/IrrigationNZ</PAGE_LINKS><PAGE_ALTURL_AMP>https://m.scoop.co.nz/stories/BU2602/S00198/water-infrastructure-missing-from-rm-reform-says-irrigationnz.htm</PAGE_ALTURL_AMP><PAGE_TITLE>Water Infrastructure Missing From RM Reform, Says IrrigationNZ</PAGE_TITLE>",2026-02-16T00:00:00,global,info.scoop.co.nz,,other
gdelt_gkg,chronicle.lu,,<PAGE_TITLE>Chronicle.lu</PAGE_TITLE>,2026-02-16T01:00:00,global,,,other
gdelt_gkg,irrigator.com.au,,<PAGE_LINKS>https://www.rsm.global/australia/people/simon-robinson</PAGE_LINKS><PAGE_PRECISEPUBTIMESTAMP>20260216020000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Estate planning: how to ensure your family's future security | The Irrigator</PAGE_TITLE>,2026-02-16T03:00:00,global,www.rsm.global,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216013100</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Liberal leader eyes new front bench after poll boost</PAGE_TITLE>,2026-02-16T03:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216012400</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Bondi shooter speaks as 'onerous conditions' outlined</PAGE_TITLE>,2026-02-16T03:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216000000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Easing the compliance load on Australian small businesses | The Irrigator</PAGE_TITLE>,2026-02-16T03:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,<PAGE_LINKS>https://www.carsguide.com.au/byd;https://www.carsguide.com.au/car-advice/engine-capacity-what-does-cc-mean-70785;https://www.carsguide.com.au/car-advice/whats-the-difference-between-diesel-and-petrol-cars-47267;https://www.carsguide.com.au/car-advice/why-suvs-are-becoming-so-popular-34463;https://www.carsguide.com.au/chery;https://www.carsguide.com.au/ev/advice/ev-battery-technology-explained-83111;https://www.carsguide.com.au/ev/advice/everything-you-need-to-know-about-charging-electric-cars-84991;https://www.carsguide.com.au/ev/advice/hybrid-vs-plug-in-hybrid-whats-the-difference-83034;https://www.carsguide.com.au/ev/advice/what-is-a-hybrid-car-84895;https://www.carsguide.com.au/ev/advice/what-is-an-electric-car-86051;https://www.carsguide.com.au/gwm;https://www.carsguide.com.au/mg</PAGE_LINKS><PAGE_PRECISEPUBTIMESTAMP>20260216000000</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Chery wants to 'absolutely' ditch petrol | The Irrigator</PAGE_TITLE>,2026-02-16T03:00:00,global,www.carsguide.com.au,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216001400</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>'Much-loved' teacher's death to be probed years later</PAGE_TITLE>,2026-02-16T03:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216015400</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Nation's biggest steelmaker pledges shareholder bonanza</PAGE_TITLE>,2026-02-16T03:00:00,global,PAGE_TITLE>,,other
gdelt_gkg,irrigator.com.au,,<PAGE_PRECISEPUBTIMESTAMP>20260216023300</PAGE_PRECISEPUBTIMESTAMP><PAGE_TITLE>Spirit of Tasmania heroically rescues 7 near Geelong | The Irrigator</PAGE_TITLE>,2026-02-16T03:00:00,global,PAGE_TITLE>,,other
