origin_id,cluster_id,title,categories,category_count,first_category,first_published,signal_count,is_relevant,is_baltic,is_security,noise_class
757,5363,В Ростовской области отразили атаку дронов,"{russian_state,ru_state}",2,russian_state,2026-03-08 01:36:00+00,14,True,False,True,
770,5328,Politico: ЕС нашёл способ предоставить кредит Киеву в обход Венгрии и Словакии,"{baltic_media,ru_proxy,russian_language_ee,russian_state,ru_state,unverified_anonymous}",6,russian_state,2026-03-11 04:29:56+00,15,False,False,False,other
784,6568,В ЕС заявили о подготовке мер на случай обострения ситуации с энергоресурсами,"{ru_state,unverified_commentator}",2,ru_state,2026-03-16 08:32:30+00,8,False,False,False,other
809,5740,Средства ПВО за восемь часов уничтожили 96 БПЛА ВСУ над территорией России,"{ru_proxy,russian_state,ru_state,trusted}",4,ru_state,2026-03-16 13:57:15+00,11,True,False,True,
814,5114,Axios: Уиткофф 17 марта расскажет сенаторам США о ходе операции против Ирана,"{ru_proxy,russian_language_ee,russian_state,unverified_anonymous,unverified_media}",5,russian_state,2026-03-17 01:28:14+00,10,False,False,False,middle_east_iran
816,6870,"Власти Болгарии освободили россиянина Игоря Гречушкина, который был арестован по делу о взрыве в порту Бейрута (в…","{ru_proxy,ru_state}",2,ru_proxy,2026-03-19 22:42:45+00,2,False,False,False,other
8,5125,Два человека погибли при обстреле белгородского села со стороны ВСУ,"{ru_proxy,russian_state}",2,russian_state,2026-03-21 13:15:00+00,4,False,False,False,ukraine_frontline
9,5117,"ЦСКА уступил ""Балтике"" и проиграл в РПЛ четвертый матч подряд","{russian_state,ru_state}",2,russian_state,2026-03-14 21:34:00+00,4,False,False,False,sports_context
14,5122,"Лукашенко заявил, что Иран никогда не просил Белоруссию о поставках ракет","{russian_state,ru_state}",2,russian_state,2026-03-20 12:43:00+00,7,True,True,True,
23,5150,"Офис Орбана: атака Украины на ""Турецкий поток"" станет нападением на страну НАТО","{ru_proxy,russian_state,unverified_anonymous,unverified_media}",4,russian_state,2026-03-21 11:56:05+00,5,True,False,True,
27,5170,В Псковской области увеличили выплату подписавшим контракт в войска БПЛА,"{ru_proxy,russian_state}",2,russian_state,2026-03-12 18:39:20+00,2,True,True,True,
31,5183,Два человека обратились за медпомощью после атаки БПЛА на Саратов,"{russian_state,unverified_anonymous}",2,russian_state,2026-03-21 02:36:56+00,3,True,False,True,
35,5158,РИА Новости: убитого в Петербурге подростка заманила на станцию его экс-девушка,"{russian_state,ru_state}",2,ru_state,2026-03-19 13:23:16+00,3,False,False,False,other
36,5191,В Литву вернулись более 60% застрявших в Белоруссии грузовиков,"{baltic_media,russian_state}",2,russian_state,2026-03-10 03:20:00+00,8,True,True,False,
37,5192,В аэропорту Пскова ввели ограничения,"{russian_state,ru_state}",2,russian_state,2026-03-16 23:25:47+00,7,True,True,False,
