handle,name,platform,category,tier,lang,signal_count
pivovarov,Пивоваров (Редакція),youtube,ru_proxy,T2,ru,0
military_summary,Military Summary Channel,youtube,unverified_independent,T1,en,0
fakty_ictv,Факти ICTV,youtube,trusted,T2,uk,0
kyiv_independent_yt,Kyiv Independent,youtube,trusted,T1,en,0
readovkanews,Readovka,telegram,ru_proxy,T1,ru,0
politeka_yt,Politeka Online,youtube,unverified_media,T2,uk,0
anna_from_ukraine,Anna from Ukraine,youtube,unverified_independent,T2,en,0
ponomarev,Ілля Пономарьов,youtube,unverified_commentator,T2,ru,0
butusov,Юрій Бутусов,youtube,unverified_commentator,T1,uk,0
pryamiy_yt,Телеканал Прямий,youtube,trusted,T2,uk,0
unian_yt,УНІАН,youtube,unverified_media,T1,uk,0
ukrainian_witness,Ukrainian Witness,youtube,unverified_independent,T2,en,0
anna_from_ukraine,Anna from Ukraine,youtube,unverified_independent,T2,en,0
gordon_2,В гостях у Гордона,youtube,unverified_media,T1,ru,0
bihus_yt,BIHUS Info,youtube,trusted,T1,uk,0
komarov,Дмитро Комаров,youtube,unverified_commentator,T2,uk,0
censor_yt,Цензор.НЕТ,youtube,unverified_media,T1,uk,0
shevtsov,Олексій Шевцов,telegram,unverified_commentator,T1,uk,0
uatv_english,UATV English,youtube,unverified_media,T2,en,0
RVvoenkor,Operation Z / Военкоры,telegram,ru_proxy,T1,ru,0
warfakes,Война с фейками / War on Fakes,telegram,ru_proxy,T2,ru,0
ukraina_novyny,Україна Online: Новини | Політика,telegram,unverified_anonymous,T1,uk,0
TCH_channel,ТСН,telegram,trusted,T1,uk,0
ukrainska_pravda,Українська правда,telegram,trusted,T1,uk,0
uniannet,УНІАН,telegram,unverified_media,T1,uk,0
ukr_noviny_war,Україна⚡️Новини⚡️Війна,telegram,unverified_anonymous,T1,uk,0
deepstatemap,DeepState,telegram,trusted,T1,uk,0
ukrainska_pravda,Українська правда,telegram,trusted,T1,uk,0
wargonzo,WarGonzo,telegram,ru_proxy,T1,ru,0
butusov_plus,Бутусов Плюс,telegram,unverified_commentator,T1,uk,0
gordon_channel,Дмитро Гордон,telegram,unverified_commentator,T1,ru,0
kyivindependent,Kyiv Independent,telegram,trusted,T1,en,0
pryamiy,Телеканал Прямий,telegram,trusted,T2,uk,0
good_times_bad_times,Good Times Bad Times,youtube,unverified_independent,T2,en,0
weeb_union,Weeb Union,youtube,unverified_independent,T2,en,0
operator_starsky,Operator Starsky,youtube,unverified_independent,T2,en,0
war_in_ukraine,Ukraine War Awareness,youtube,unverified_independent,T2,en,0
scott_ritter,Scott Ritter,youtube,ru_proxy,T1,en,0
douglas_macgregor,Douglas Macgregor,youtube,ru_proxy,T1,en,0
danny_haiphong,Danny Haiphong,youtube,ru_proxy,T2,en,0
we_ukraine_tv,Ми - Україна,youtube,unverified_media,T2,uk,0
ukrainian_witness,Ukrainian Witness,youtube,unverified_independent,T2,en,0
anders_puck_nielsen,Anders Puck Nielsen,youtube,trusted,T1,en,0
jake_broe,Jake Broe,youtube,unverified_independent,T2,en,0
anders_puck_nielsen,Anders Puck Nielsen,youtube,trusted,T1,en,0
ryan_mcbeth,Ryan McBeth,youtube,trusted,T2,en,0
task_and_purpose,Task & Purpose,youtube,trusted,T2,en,0
redacted_news,Redacted (Clayton Morris),youtube,ru_proxy,T1,en,0
the_new_atlas,The New Atlas (Brian Berletic),youtube,ru_proxy,T2,en,0
unian_yt,УНІАН,youtube,unverified_media,T1,uk,0
infodefense_pol,InfoDefense POLAND,telegram,ru_proxy,T2,pl,0
the_duran,The Duran,youtube,ru_proxy,T1,en,0
ukraine_now_channel,Україна Зараз,telegram,unverified_anonymous,T2,uk,0
nach_shtabu,Начальник Штабу,telegram,ru_proxy,T1,uk,0
kyivindependent,Kyiv Independent,telegram,trusted,T1,en,0
bihus_info,Bihus.Info,telegram,trusted,T2,uk,0
infodefense_serb,InfoDefense SERBIA,telegram,ru_proxy,T2,sr,0
ds_zrada,ДС | Зрада,telegram,unverified_anonymous,T2,uk,0
ukraine_now_channel,Україна Зараз,telegram,unverified_anonymous,T2,uk,0
bankova_off,Банкова,telegram,unverified_anonymous,T2,uk,0
real_war_ua,Real War,telegram,unverified_anonymous,T1,uk,0
xua_war,XUA-фотовойны,telegram,unverified_anonymous,T2,uk,0
karas_ua,Євген Карась,telegram,unverified_commentator,T1,uk,0
