id,cluster_id,first_signal_id,first_source,first_category,first_title,first_published,signal_count,category_count,categories,is_state_origin,created_at
58,5196,2093822,rybar,ru_proxy,"📝Главное от Рыбаря📝
дайджест материалов за 20 марта

Отправить «Дельту» вывести уран из Ирана — хороший сюжет для…",2026-03-20 20:29:45+00,5,1,{ru_proxy},t,2026-03-22 19:43:03.021284+00
59,5203,77159,rss:rss,russian_state,"«Есть задача, и мы не можем её не выполнить»: как работают разведчики 61-й гвардейской бригады",2026-03-14 11:09:22+00,3,1,{russian_state},t,2026-03-22 19:43:03.021284+00
60,5186,64702,rss:rss,russian_state,"Лукашенко заявил, что участники атаки на Иран не добились своих целей",2026-03-13 08:50:07+00,5,2,"{russian_state,ru_state}",t,2026-03-22 19:43:03.021284+00
61,5243,702407,rss:rss,russian_state,Брянский губернатор сообщил о еще одном пострадавшем из-за атак БПЛА,2026-03-17 05:28:00+00,15,2,"{russian_state,ru_state}",t,2026-03-22 19:43:03.021284+00
62,5239,1950352,rss:rss,russian_state,У хоккейного тренера Крикунова отобрали вид на жительство в Латвии,2026-03-20 06:15:53+00,2,1,{russian_state},t,2026-03-22 19:43:03.021284+00
63,5244,66800,rss:rss,russian_state,Управделами челябинского губернатора отправили в отставку,2026-03-13 11:31:43+00,2,1,{russian_state},t,2026-03-22 19:43:03.021284+00
64,5195,2039800,uniannet,unverified_media,"«Без США НАТО — бумажный тигр»: Трамп, кажется, обиделся

Он заявил, что союзники по Альянсу не захотели участвовать в…",2026-03-20 13:48:48+00,15,8,"{baltic_media,estonian_media,ru_proxy,russian_language_ee,russian_state,trusted,unverified_anonymous,unverified_media}",f,2026-03-22 19:43:03.021284+00
65,5260,2041094,rss:rss,baltic_media,Survey: Valmierans most satisfied with life in their city,2026-03-20 12:38:00+00,2,1,{baltic_media},f,2026-03-22 19:43:03.021284+00
66,5248,2038272,rss:rss,russian_state,"Лукашенко объяснил, чем ему импонирует Трамп",2026-03-20 12:56:05+00,2,1,{russian_state},t,2026-03-22 19:43:03.021284+00
67,5241,2040045,dva_majors,ru_proxy,Экипаж российского газовоза Arctic Metagaz дрейфовал на спасательной шлюпке в течение 15 часов после атаки в…,2026-03-20 14:09:40+00,2,2,"{ru_proxy,unverified_commentator}",t,2026-03-22 19:43:03.021284+00
