cluster_id,signal_id,source_type,title,published_at,region,source_category,channel,feed_handle
5625,2222535,telegram_channel,"Начало выше

▪️ Европа активно изучает опыт ведения боевых действий на Украине. Решаются вопросы организации…",2026-03-22 06:50:33+00,global,,rybar,
5656,441596,rss,«Это не наша война». Министр обороны Германии отверг призыв Трампа отправить военные корабли в Ормузский пролив,2026-03-16 12:57:17+00,global,T2,,meduza
5656,427336,telegram,"🇪🇪 Эстония готова обсуждать с США Иран, но те не звонятМинистр иностранных дел Маргус Цахкна (Eesti …",2026-03-16 13:00:41+00,global,,,
5656,445208,telegram,Эстония готова обсуждать проблемы в Ормузском проливе с СШАТакое заявление особой важности сделал гл…,2026-03-16 14:01:01+00,global,,,
5656,453097,telegram,"Правительство Германии заявило, что война с Ираном не имеет никакого отношения к НАТОЭти слова прозв…",2026-03-16 14:32:37+00,global,,,
5656,501030,rss,"Финляндия признала, что не в силах выполнить просьбу Трампа о защите Ормузского пролива",2026-03-16 16:25:55+00,global,estonian_media,,postimees_rus
5656,802922,rss,Участие латвийских сил в возможной операции в Ормузском проливе не планируется— министр,2026-03-17 08:01:29+00,global,baltic_media,,lsm_rus
5656,789342,telegram,"Эстония вслед за Литвой готова отправить все пять солдат в Ормузский пролив, заявил глава МИД респуб…",2026-03-17 10:52:01+00,global,,,
5656,904033,rss,Эстония готова обсуждать отправку войск в Ормузский пролив,2026-03-17 15:58:00+00,global,russian_state,,interfax
5656,1208213,rss,Певкур: от США союзникам не поступало ни одного конкретного запроса,2026-03-18 10:29:00+00,global,estonian_media,,err_rus
5656,1207275,rss,Defense minister: US has made no concrete Strait of Hormuz request to allies,2026-03-18 10:39:00+00,global,estonian_media,,err_en
5656,1235262,telegram,"Эстонию никто не зовет на войнуМинистр обороны республики Ханно Певкур заявил, что никаких запросов …",2026-03-18 13:04:01+00,global,,,
5656,2040126,telegram_channel,"‼️🇪🇪🇺🇸Эстония в четвёртый раз напомнила, что готова помочь США в Ормузском проливе

➖Конкретного запроса со стороны США…",2026-03-20 14:35:38+00,global,,RVvoenkor,
5656,2309921,rss,"""АК+"": готовность Эстонии помочь США на Ближнем Востоке – реальный план или политический сигнал",2026-03-22 19:05:00+00,global,,,err_rus
5802,77080,rss,Премьер Словении: перспективы сохранения единства НАТО будут зависеть от США,2026-03-14 11:22:26+00,global,russian_state,,
5802,209588,rss,"Трамп: НАТО ждет ""плохое будущее"" при отказе помогать США с Ормузским проливом",2026-03-15 23:22:07+00,global,RU_STATE,,tass_ru
5802,243185,rss,"Трамп заявил, что НАТО ждет плохое будущее, если альянс не поможет США в Ормузском проливе",2026-03-16 00:42:00+00,global,RU_STATE,,interfax
5802,340821,rss,"Трамп усиливает давление на НАТО, требуя участия в защите Ормузского пролива",2026-03-16 07:32:00+00,global,T1,,err_rus
5802,408796,rss,Глава МИД Литвы: НАТО обязано рассмотреть вопрос помощи США в Ормузском проливе,2026-03-16 11:20:00+00,global,T2,,delfi_lt_rus
5802,903885,rss,Трамп: США очень разочарованы НАТО,2026-03-17 16:50:10+00,global,russian_state,,tass_ru
5802,2327807,rss,Генсек НАТО попросил у Трампа понимания,2026-03-22 20:55:00+00,global,,,lenta_ru
5805,803212,rss,Туск: Польша не направит военных для поддержки операции США против Ирана,2026-03-17 11:33:44+00,global,russian_state,,tass_ru
5805,836333,rss,Польша не будет направлять войска в регион Персидского залива,2026-03-17 12:52:00+00,global,russian_state,,interfax
5805,905198,rss,Туск об оправке войск в Иран: у Польши есть другие задачи в рамках НАТО,2026-03-17 16:35:00+00,global,estonian_media,,err_rus
5848,64470,rss,Президент Польши наложил вето на закон о присоединении к механизму оборонного кредита ЕС,2026-03-13 06:24:00+00,global,estonian_media,,
5848,69791,rss,Правительство Польши приняло резолюцию о займе на вооружение в обход президентского вето,2026-03-13 14:28:00+00,global,russian_state,,
5848,830918,telegram,"Польша между двух огнейВ день, когда польский президент Навроцкий объявлял о вето на законопроект по…",2026-03-17 13:01:19+00,global,,,
5848,1134129,telegram,"Польша между двух огнейВ день, когда польский президент Навроцкий объявлял о вето на законопроект по…",2026-03-18 07:01:15+00,global,,,
5850,770196,rss,"Великобритания, Нидерланды и Финляндия будут вместе закупать оружие и боеприпасы",2026-03-17 09:16:00+00,global,russian_state,,interfax
5850,837657,rss,Финляндия обсуждает с союзниками по НАТО создание оборонного банка,2026-03-17 12:43:00+00,global,estonian_media,,err_rus
5894,440825,rss,В Польше возле границы с Украиной нашли обломки летательного аппарата,2026-03-16 13:08:31+00,global,RU_STATE,,kommersant
5894,769417,rss,"В польской деревне нашли обломки неопознанного объекта, полиция подозревает связь с российскими дронами",2026-03-17 08:42:51+00,global,estonian_media,,postimees_rus
5913,736436,rss,Иран пообещал мужественно противостоять агрессии США и Израиля,2026-03-17 06:34:37+00,global,russian_state,,tass_ru
5913,2136581,rss,Iraani president nõuab USA ja Iisraeli agressiooni kohest lõpetamist,2026-03-21 21:46:30+00,"estonia,baltic",,,postimees_et
5913,2138354,telegram_channel,"‼️🇮🇷🇮🇱Небо Израиля беззащитно. Настало время для заранее подготовленных следующих планов, — спикер иранского парламента…",2026-03-21 22:10:16+00,global,,RVvoenkor,
5913,2172197,telegram_channel,"Спикер парламента Ирана Галибаф заявил, что небо Израиля беззащитно и Иран намерен уже в ближайшее время этим…",2026-03-22 02:10:42+00,global,,colonel_cassad,
5913,2222586,telegram_channel,"Спикер иранского парламента Мохаммад Багхер Галибаф:

""Если ""израильский"" режим не может перехватывать ракеты в высоко…",2026-03-22 07:35:13+00,global,,colonel_cassad,
