date,region,score,level,trend,components,computed_at
2026-03-01,baltic,13.312352,GREEN,STABLE,"{""fimi"": 6.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.306673+00
2026-03-01,finland,11.202255,GREEN,STABLE,,2026-03-20 21:35:34.674134+00
2026-03-01,poland,19.083948,YELLOW,STABLE,,2026-03-20 21:35:35.863426+00
2026-03-02,baltic,15.435042,YELLOW,STABLE,"{""fimi"": 8.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.319672+00
2026-03-02,finland,12.786994,GREEN,STABLE,,2026-03-20 21:35:34.67928+00
2026-03-02,poland,18.204353,YELLOW,STABLE,,2026-03-20 21:35:35.868396+00
2026-03-03,baltic,15.438935,YELLOW,STABLE,"{""fimi"": 8.0, ""hybrid"": 0.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.330069+00
2026-03-03,finland,14.881455,GREEN,STABLE,,2026-03-20 21:35:34.68428+00
2026-03-03,poland,15.698637,YELLOW,STABLE,,2026-03-20 21:35:35.880796+00
2026-03-04,baltic,14.898844,GREEN,STABLE,"{""fimi"": 0, ""hybrid"": 17.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.343737+00
2026-03-04,finland,16.150978,YELLOW,STABLE,,2026-03-20 21:35:34.693922+00
2026-03-04,poland,18.466305,YELLOW,STABLE,,2026-03-20 21:35:35.888473+00
2026-03-05,baltic,14.120008,GREEN,RISING,"{""fimi"": 2, ""hybrid"": 17.0, ""economic"": 6.0, ""security"": 0.0}",2026-03-20 21:35:33.35424+00
2026-03-05,finland,16.95468,YELLOW,STABLE,,2026-03-20 21:35:34.699125+00
2026-03-05,poland,12.514547,GREEN,STABLE,,2026-03-20 21:35:35.901708+00
2026-03-06,baltic,13.933184,GREEN,RISING,"{""fimi"": 4, ""hybrid"": 17.0, ""economic"": 4.5, ""security"": 0.0}",2026-03-20 21:35:33.364453+00
2026-03-06,finland,16.73055,YELLOW,STABLE,,2026-03-20 21:35:34.705366+00
2026-03-06,poland,15.173968,GREEN,STABLE,,2026-03-20 21:35:35.906534+00
2026-03-07,baltic,16.152603,YELLOW,RISING,"{""fimi"": 6, ""hybrid"": 17.0, ""economic"": 6.0, ""security"": 1.7}",2026-03-20 21:35:33.375051+00
2026-03-07,finland,8.668064,GREEN,STABLE,,2026-03-20 21:35:34.713689+00
2026-03-07,poland,14.39547,GREEN,STABLE,,2026-03-20 21:35:35.911142+00
2026-03-08,baltic,19.883595,YELLOW,RISING,"{""fimi"": 6, ""hybrid"": 17.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.388754+00
2026-03-08,finland,18.221298,YELLOW,STABLE,,2026-03-20 21:35:34.720747+00
2026-03-08,poland,17.451052,YELLOW,STABLE,,2026-03-20 21:35:35.915948+00
2026-03-09,baltic,18.463758,YELLOW,RISING,"{""fimi"": 8, ""hybrid"": 17.0, ""economic"": 0, ""security"": 4.1}",2026-03-20 21:35:33.39451+00
2026-03-09,finland,15.44381,YELLOW,STABLE,,2026-03-20 21:35:34.725922+00
2026-03-09,poland,17.950348,YELLOW,STABLE,,2026-03-20 21:35:35.920499+00
2026-03-1,baltic,17,GREEN,STABLE,"{""fimi"": 0, ""hybrid"": 17.0, ""economic"": 0, ""security"": 0.0}",2026-03-14 12:46:08.364581+00
2026-03-10,baltic,14.710503,GREEN,RISING,"{""fimi"": 10, ""hybrid"": 17.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.3997+00
2026-03-10,finland,17.914057,YELLOW,STABLE,,2026-03-20 21:35:34.731806+00
