id,centroid_id,event_summary,signal_count,sources,categories,regions,has_state,has_trusted,first_seen,last_seen,created_at
7355,2121538,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-21 19:15:01+00,2026-03-21 19:15:01+00,2026-03-23 06:30:18.942768+00
7354,2187765,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-22 03:03:01+00,2026-03-22 03:03:01+00,2026-03-23 06:30:18.492353+00
7353,2205971,,1,{rybar},{ru_proxy},{global},t,f,2026-03-22 06:08:51+00,2026-03-22 06:08:51+00,2026-03-23 06:30:18.353523+00
7352,2222257,,1,{rezident_ua},{unverified_anonymous},{global},f,f,2026-03-22 07:26:03+00,2026-03-22 07:26:03+00,2026-03-23 06:30:17.900357+00
7351,2238363,,1,{TCH_channel},{trusted},{global},f,t,2026-03-22 08:45:26+00,2026-03-22 08:45:26+00,2026-03-23 06:30:17.600748+00
7350,2238660,,1,{nexta_live},{unverified_media},"{""baltic,belarus_north""}",f,f,2026-03-22 10:12:13+00,2026-03-22 10:12:13+00,2026-03-23 06:30:17.386852+00
7349,2284756,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-22 15:05:13+00,2026-03-22 15:05:13+00,2026-03-23 06:30:16.669312+00
7348,2300405,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-22 18:21:01+00,2026-03-22 18:21:01+00,2026-03-23 06:30:16.219424+00
7347,2315943,,1,{montyan},{ru_proxy},{global},t,f,2026-03-22 18:51:14+00,2026-03-22 18:51:14+00,2026-03-23 06:30:15.956537+00
7346,2315667,,1,{gerashchenko},{unverified_commentator},{global},f,f,2026-03-22 20:07:01+00,2026-03-22 20:07:01+00,2026-03-23 06:30:15.643684+00
7345,2315916,,1,{RVvoenkor},{ru_proxy},{global},t,f,2026-03-22 20:10:02+00,2026-03-22 20:10:02+00,2026-03-23 06:30:15.583946+00
7344,2331527,,1,{operativnoZSU},{unverified_anonymous},{global},f,f,2026-03-22 20:39:36+00,2026-03-22 20:39:36+00,2026-03-23 06:30:15.448747+00
7343,2341880,,2,"{interfax,kommersant}",{russian_state},{global},t,f,2026-03-22 17:56:00+00,2026-03-22 23:49:23+00,2026-03-23 06:30:15.316453+00
7342,2378356,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-23 03:07:01+00,2026-03-23 03:07:01+00,2026-03-23 06:30:15.109201+00
7341,2378429,,1,{shot_shot},{ru_proxy},{global},t,f,2026-03-23 04:25:25+00,2026-03-23 04:25:25+00,2026-03-23 06:30:14.969468+00
7340,2392337,,1,{postimees_et},{estonian_media},{estonia},f,t,2026-03-23 05:00:00+00,2026-03-23 05:00:00+00,2026-03-23 06:30:14.844755+00
7339,2392574,,1,{15min_lt_lt},{baltic_media},{global},f,t,2026-03-23 05:12:03+00,2026-03-23 05:12:03+00,2026-03-23 06:30:14.776761+00
7338,2391720,,1,{lenta_ru},{russian_state},{global},t,f,2026-03-23 05:21:00+00,2026-03-23 05:21:00+00,2026-03-23 06:30:14.706529+00
7337,2391697,,1,{lenta_ru},{russian_state},{global},t,f,2026-03-23 05:46:35+00,2026-03-23 05:46:35+00,2026-03-23 06:30:14.559659+00
7336,57909,,1,"{""""}",{estonian_media},"{belarus_north,estonia}",f,t,2026-03-12 11:50:00+00,2026-03-12 11:50:00+00,2026-03-23 04:30:29.484851+00
7335,62343,,1,"{""""}",{baltic_media},{latvia},f,t,2026-03-13 02:20:00+00,2026-03-13 02:20:00+00,2026-03-23 04:30:29.415509+00
7334,440794,,1,{rt_russian},{ru_state},{global},t,f,2026-03-16 13:24:03+00,2026-03-16 13:24:03+00,2026-03-23 04:30:27.994537+00
7333,635959,,1,{rt_russian},{ru_state},{global},t,f,2026-03-17 01:35:21+00,2026-03-17 01:35:21+00,2026-03-23 04:30:27.190506+00
7332,736440,,2,{rt_russian},{ru_state},{global},t,f,2026-03-17 05:55:15+00,2026-03-18 11:08:10+00,2026-03-23 04:30:27.066534+00
7331,802656,,2,{rt_russian},{ru_state},{global},t,f,2026-03-17 10:52:35+00,2026-03-18 19:25:29+00,2026-03-23 04:30:26.74913+00
7330,903844,,3,{rt_russian},{ru_state},{global},t,f,2026-03-17 16:49:20+00,2026-03-18 12:42:51+00,2026-03-23 04:30:25.941998+00
7329,1105764,,1,{rt_russian},{ru_state},{global},t,f,2026-03-18 05:49:47+00,2026-03-18 05:49:47+00,2026-03-23 04:30:25.633433+00
7328,1173822,,2,{rt_russian},{ru_state},{global},t,f,2026-03-14 19:20:27+00,2026-03-18 08:32:10+00,2026-03-23 04:30:25.347268+00
7327,1241256,,1,{rt_russian},{ru_state},{global},t,f,2026-03-18 12:36:11+00,2026-03-18 12:36:11+00,2026-03-23 04:30:24.873297+00
7326,1590884,,1,"{""""}","{""""}",{latvia},f,f,2026-03-19 10:06:30+00,2026-03-19 10:06:30+00,2026-03-23 04:30:23.767268+00
7325,1612628,,2,{rt_russian},{ru_state},{global},t,f,2026-03-15 18:57:22+00,2026-03-19 11:14:34+00,2026-03-23 04:30:23.634746+00
7324,1646711,,1,{rt_russian},{ru_state},{global},t,f,2026-03-19 12:55:28+00,2026-03-19 12:55:28+00,2026-03-23 04:30:23.487911+00
7323,2039830,,1,{nach_shtabu},{ru_proxy},{global},t,f,2026-03-19 13:44:25+00,2026-03-19 13:44:25+00,2026-03-23 04:30:23.35823+00
7322,2040100,,1,{rusich_army},{ru_proxy},{global},t,f,2026-03-19 17:32:58+00,2026-03-19 17:32:58+00,2026-03-23 04:30:22.967017+00
7321,1714856,,2,{rt_russian},{ru_state},{global},t,f,2026-03-19 17:43:01+00,2026-03-20 10:03:10+00,2026-03-23 04:30:22.872665+00
7320,1849455,,1,{rt_russian},{ru_state},{global},t,f,2026-03-20 01:26:35+00,2026-03-20 01:26:35+00,2026-03-23 04:30:22.382332+00
7319,2040082,,1,{yurasumy},{ru_proxy},{global},t,f,2026-03-20 04:39:24+00,2026-03-20 04:39:24+00,2026-03-23 04:30:22.324577+00
7318,2039837,,1,{nach_shtabu},{ru_proxy},{global},t,f,2026-03-20 08:09:01+00,2026-03-20 08:09:01+00,2026-03-23 04:30:22.086227+00
7317,2040033,,1,{rybar},{ru_proxy},{global},t,f,2026-03-20 08:54:26+00,2026-03-20 08:54:26+00,2026-03-23 04:30:21.971422+00
7316,2039394,,1,{TCH_channel},{trusted},{global},f,t,2026-03-20 13:09:50+00,2026-03-20 13:09:50+00,2026-03-23 04:30:21.158763+00
7315,2039454,,1,{wartranslated},{trusted},{global},f,t,2026-03-20 14:14:40+00,2026-03-20 14:14:40+00,2026-03-23 04:30:21.004172+00
7314,2040005,,1,{pul_1},{ru_state},{global},t,f,2026-03-20 14:23:20+00,2026-03-20 14:23:20+00,2026-03-23 04:30:20.941098+00
7313,2093965,,1,{montyan},{ru_proxy},{global},t,f,2026-03-20 16:00:16+00,2026-03-20 16:00:16+00,2026-03-23 04:30:20.757789+00
7312,2093908,,1,{rusich_army},{ru_proxy},{global},t,f,2026-03-20 16:10:00+00,2026-03-20 16:10:00+00,2026-03-23 04:30:20.690536+00
7311,2093527,,1,{operativnoZSU},{unverified_anonymous},{global},f,f,2026-03-21 11:54:17+00,2026-03-21 11:54:17+00,2026-03-23 04:30:20.486775+00
7310,2093672,,1,{gerashchenko},{unverified_commentator},{global},f,f,2026-03-21 13:30:01+00,2026-03-21 13:30:01+00,2026-03-23 04:30:20.358617+00
7309,2093656,,1,{nach_shtabu},{ru_proxy},{global},t,f,2026-03-21 14:01:01+00,2026-03-21 14:01:01+00,2026-03-23 04:30:20.301178+00
7308,2093750,,1,{wartranslated},{trusted},{global},f,t,2026-03-21 14:22:43+00,2026-03-21 14:22:43+00,2026-03-23 04:30:20.243186+00
7307,2093819,,1,{readovkanews},{ru_proxy},{global},t,f,2026-03-21 15:42:27+00,2026-03-21 15:42:27+00,2026-03-23 04:30:20.110628+00
7306,2093874,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-21 15:45:08+00,2026-03-21 15:45:08+00,2026-03-23 04:30:20.05006+00
7305,2093936,,3,"{colonel_cassad,gerashchenko,RVvoenkor}","{ru_proxy,unverified_commentator}",{global},t,f,2026-03-21 17:21:04+00,2026-03-21 17:34:46+00,2026-03-23 04:30:19.865417+00
7304,2100448,,1,{yurasumy},{ru_proxy},{global},t,f,2026-03-21 18:06:14+00,2026-03-21 18:06:14+00,2026-03-23 04:30:19.732467+00
7303,2100125,,1,{lachentyt},{unverified_anonymous},{global},f,f,2026-03-21 18:07:01+00,2026-03-21 18:07:01+00,2026-03-23 04:30:19.663492+00
7302,2121544,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-21 20:05:07+00,2026-03-21 20:05:07+00,2026-03-23 04:30:19.474199+00
7301,2138304,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-21 22:03:01+00,2026-03-21 22:03:01+00,2026-03-23 04:30:19.41007+00
7300,2253669,,1,{truexanewsua},{unverified_anonymous},{global},f,f,2026-03-22 10:46:45+00,2026-03-22 10:46:45+00,2026-03-23 04:30:18.5015+00
7299,2254030,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-22 11:30:37+00,2026-03-22 11:30:37+00,2026-03-23 04:30:18.236775+00
7298,2268418,,1,{uniannet},{unverified_media},{global},f,f,2026-03-22 13:41:04+00,2026-03-22 13:41:04+00,2026-03-23 04:30:17.874477+00
7297,2268770,,1,{nexta_live},{unverified_media},"{""baltic,belarus_north""}",f,f,2026-03-22 13:46:01+00,2026-03-22 13:46:01+00,2026-03-23 04:30:17.804207+00
7296,2268558,,1,{spravdi},{trusted},{global},f,t,2026-03-22 14:15:10+00,2026-03-22 14:15:10+00,2026-03-23 04:30:17.657108+00
7295,2284584,,2,"{suspilne_news,TCH_channel}",{trusted},{global},f,t,2026-03-22 13:03:56+00,2026-03-22 14:35:10+00,2026-03-23 04:30:17.601498+00
7294,2284430,,1,{operativnoZSU},{unverified_anonymous},{global},f,f,2026-03-22 14:40:01+00,2026-03-22 14:40:01+00,2026-03-23 04:30:17.483763+00
7293,2284469,,1,{lachentyt},{unverified_anonymous},{global},f,f,2026-03-22 14:48:30+00,2026-03-22 14:48:30+00,2026-03-23 04:30:17.399873+00
7292,2284833,,1,{shot_shot},{ru_proxy},{global},t,f,2026-03-22 15:27:41+00,2026-03-22 15:27:41+00,2026-03-23 04:30:17.287486+00
7291,2284702,,1,{readovkanews},{ru_proxy},{global},t,f,2026-03-22 15:30:01+00,2026-03-22 15:30:01+00,2026-03-23 04:30:17.229907+00
7290,2300289,,1,{spravdi},{trusted},{global},f,t,2026-03-22 16:42:01+00,2026-03-22 16:42:01+00,2026-03-23 04:30:16.846997+00
7289,2315499,,1,{truexanewsua},{unverified_anonymous},{global},f,f,2026-03-22 19:00:22+00,2026-03-22 19:00:22+00,2026-03-23 04:30:16.425939+00
7288,2315666,,1,{gerashchenko},{unverified_commentator},{global},f,f,2026-03-22 19:35:21+00,2026-03-22 19:35:21+00,2026-03-23 04:30:15.915275+00
7287,2331861,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-22 21:33:01+00,2026-03-22 21:33:01+00,2026-03-23 04:30:15.598854+00
7286,2373202,,2,"{kommersant,tass_ru}",{russian_state},{global},t,f,2026-03-23 02:03:52+00,2026-03-23 05:35:31+00,2026-03-23 04:30:15.072212+00
7285,58392,,1,"{""""}",{russian_state},{latvia},t,f,2026-03-12 06:40:32+00,2026-03-12 06:40:32+00,2026-03-23 02:30:30.55257+00
7284,2039551,,2,"{colonel_cassad,rezident_ua}","{ru_proxy,unverified_anonymous}",{global},t,f,2026-03-13 05:34:55+00,2026-03-22 20:04:23+00,2026-03-23 02:30:30.428378+00
7283,85640,,1,{rt_russian},{ru_state},{global},t,f,2026-03-14 20:47:53+00,2026-03-14 20:47:53+00,2026-03-23 02:30:30.312191+00
7282,175698,,2,{rt_russian},{ru_state},{global},t,f,2026-03-15 21:20:10+00,2026-03-19 16:24:19+00,2026-03-23 02:30:29.900726+00
7281,534500,,2,{rt_russian},{ru_state},{global},t,f,2026-03-16 13:54:15+00,2026-03-16 18:27:23+00,2026-03-23 02:30:28.703602+00
7280,602556,,1,{ukrinform},{trusted},{global},f,t,2026-03-16 21:37:00+00,2026-03-16 21:37:00+00,2026-03-23 02:30:28.500423+00
7279,669149,,2,{rt_russian},{ru_state},{global},t,f,2026-03-16 06:04:30+00,2026-03-17 03:27:33+00,2026-03-23 02:30:28.424036+00
7278,703048,,1,{ukrinform},{trusted},{global},f,t,2026-03-17 05:43:00+00,2026-03-17 05:43:00+00,2026-03-23 02:30:28.146187+00
7277,736442,,2,{rt_russian},{ru_state},{global},t,f,2026-03-17 05:52:20+00,2026-03-20 06:32:51+00,2026-03-23 02:30:28.089666+00
7276,736413,,3,{rt_russian},{ru_state},{global},t,f,2026-03-16 13:40:41+00,2026-03-17 06:25:53+00,2026-03-23 02:30:28.033156+00
7275,770068,,1,{rt_russian},{ru_state},{global},t,f,2026-03-17 09:39:47+00,2026-03-17 09:39:47+00,2026-03-23 02:30:27.834192+00
7274,802676,,1,{rt_russian},{ru_state},{global},t,f,2026-03-17 10:37:23+00,2026-03-17 10:37:23+00,2026-03-23 02:30:27.707633+00
7273,870074,,3,{rt_russian},{ru_state},{global},t,f,2026-03-15 17:28:27+00,2026-03-17 14:40:28+00,2026-03-23 02:30:27.339185+00
7272,2136685,,1,{lv_portals},{government},"{""latvia,baltic""}",f,t,2026-03-18 00:00:00+00,2026-03-18 00:00:00+00,2026-03-23 02:30:27.085771+00
7271,1174576,,1,{ukrinform},{trusted},{global},f,t,2026-03-18 09:23:00+00,2026-03-18 09:23:00+00,2026-03-23 02:30:26.424748+00
7270,1207695,,1,{ukrinform},{trusted},{global},f,t,2026-03-18 11:10:00+00,2026-03-18 11:10:00+00,2026-03-23 02:30:26.264152+00
7269,1241426,,1,{ukrinform},{trusted},{global},f,t,2026-03-18 13:26:00+00,2026-03-18 13:26:00+00,2026-03-23 02:30:25.845989+00
7268,1308313,,2,{rt_russian},{ru_state},{global},t,f,2026-03-18 10:58:50+00,2026-03-18 15:54:52+00,2026-03-23 02:30:25.530956+00
7267,1342863,,1,{baltictimes},{baltic_media},"{estonia,baltic}",f,t,2026-03-18 19:50:22.162206+00,2026-03-18 19:50:22.162206+00,2026-03-23 02:30:25.137256+00
7266,1478414,,1,{rt_russian},{ru_state},{global},t,f,2026-03-19 02:35:51+00,2026-03-19 02:35:51+00,2026-03-23 02:30:24.937945+00
7265,1511364,,1,{tass_ru},{russian_state},{latvia},t,f,2026-03-19 05:01:40+00,2026-03-19 05:01:40+00,2026-03-23 02:30:24.814461+00
7264,1545773,,1,{ukrinform},{trusted},{global},f,t,2026-03-19 06:15:00+00,2026-03-19 06:15:00+00,2026-03-23 02:30:24.683397+00
7263,1545046,,1,{rt_russian},{ru_state},{global},t,f,2026-03-19 07:12:30+00,2026-03-19 07:12:30+00,2026-03-23 02:30:24.550132+00
7262,1578363,,1,{rt_russian},{ru_state},{global},t,f,2026-03-19 08:21:02+00,2026-03-19 08:21:02+00,2026-03-23 02:30:24.37959+00
7261,1578360,,1,{rt_russian},{ru_state},{global},t,f,2026-03-19 08:23:06+00,2026-03-19 08:23:06+00,2026-03-23 02:30:24.321362+00
7260,1681127,,1,{ukrinform},{trusted},{global},f,t,2026-03-19 14:37:00+00,2026-03-19 14:37:00+00,2026-03-23 02:30:23.744471+00
7259,2040142,,1,{shot_shot},{ru_proxy},{global},t,f,2026-03-19 17:11:55+00,2026-03-19 17:11:55+00,2026-03-23 02:30:23.40309+00
7258,1714862,,1,{rt_russian},{ru_state},{global},t,f,2026-03-19 17:30:07+00,2026-03-19 17:30:07+00,2026-03-23 02:30:23.344955+00
7257,2040164,,1,{montyan},{ru_proxy},{global},t,f,2026-03-19 17:41:29+00,2026-03-19 17:41:29+00,2026-03-23 02:30:23.274398+00
7256,1781527,,1,{rt_russian},{ru_state},{global},t,f,2026-03-19 21:01:00+00,2026-03-19 21:01:00+00,2026-03-23 02:30:22.80083+00
7255,2039654,,1,{sternenko},{unverified_commentator},{global},f,f,2026-03-19 21:07:06+00,2026-03-19 21:07:06+00,2026-03-23 02:30:22.738805+00
7254,1815815,,1,{rt_russian},{ru_state},{global},t,f,2026-03-19 22:24:26+00,2026-03-19 22:24:26+00,2026-03-23 02:30:22.612888+00
7253,1950321,,2,{rt_russian},{ru_state},{global},t,f,2026-03-19 15:20:36+00,2026-03-20 06:22:24+00,2026-03-23 02:30:22.376878+00
7252,2040011,,1,{readovkanews},{ru_proxy},{global},t,f,2026-03-20 08:25:31+00,2026-03-20 08:25:31+00,2026-03-23 02:30:22.058187+00
7251,2039444,,1,{wartranslated},{trusted},{global},f,t,2026-03-20 12:13:30+00,2026-03-20 12:13:30+00,2026-03-23 02:30:21.618478+00
7250,2128549,,1,{vz_lt},{baltic_media},{lithuania},f,t,2026-03-20 12:36:08+00,2026-03-20 12:36:08+00,2026-03-23 02:30:21.49938+00
7249,2039583,,1,{lachentyt},{unverified_anonymous},{global},f,f,2026-03-20 13:40:52+00,2026-03-20 13:40:52+00,2026-03-23 02:30:21.264252+00
7248,2040155,,1,{shot_shot},{ru_proxy},{global},t,f,2026-03-20 14:04:58+00,2026-03-20 14:04:58+00,2026-03-23 02:30:21.203131+00
7247,2039547,,1,{operativnoZSU},{unverified_anonymous},{global},f,f,2026-03-20 14:13:45+00,2026-03-20 14:13:45+00,2026-03-23 02:30:21.087478+00
7246,2039455,,1,{wartranslated},{trusted},{global},f,t,2026-03-20 14:34:14+00,2026-03-20 14:34:14+00,2026-03-23 02:30:20.965248+00
7245,2093892,,2,"{rt_russian,yurasumy}","{ru_proxy,ru_state}",{global},t,f,2026-03-20 06:48:46+00,2026-03-20 19:48:46+00,2026-03-23 02:30:20.896858+00
7244,2093809,,1,{readovkanews},{ru_proxy},{global},t,f,2026-03-21 07:42:14+00,2026-03-21 07:42:14+00,2026-03-23 02:30:20.777983+00
7243,2093653,,1,{nach_shtabu},{ru_proxy},{global},t,f,2026-03-21 09:39:02+00,2026-03-21 09:39:02+00,2026-03-23 02:30:20.661377+00
7242,2093805,,1,{pul_1},{ru_state},{global},t,f,2026-03-21 10:55:41+00,2026-03-21 10:55:41+00,2026-03-23 02:30:20.601527+00
7241,2064907,,2,"{mke_ee,suspilne_news}","{russian_language_ee,trusted}",{estonia},f,t,2026-03-21 11:00:07+00,2026-03-21 13:59:37+00,2026-03-23 02:30:20.348288+00
7240,2093984,,1,{nexta_live},{unverified_media},"{""baltic,belarus_north""}",f,f,2026-03-21 14:39:09+00,2026-03-21 14:39:09+00,2026-03-23 02:30:20.269098+00
7239,2093872,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-21 15:15:07+00,2026-03-21 15:15:07+00,2026-03-23 02:30:20.147683+00
7238,2136637,,2,"{lsm_en,lsm_lv}",{baltic_media},{latvia},f,t,2026-03-21 18:29:00+00,2026-03-22 07:24:00+00,2026-03-23 02:30:19.890572+00
7237,2121644,,1,{nexta_live},{unverified_media},"{""baltic,belarus_north""}",f,f,2026-03-21 18:42:31+00,2026-03-21 18:42:31+00,2026-03-23 02:30:19.817014+00
7236,2121288,,1,{uniannet},{unverified_media},{global},f,f,2026-03-21 20:08:56+00,2026-03-21 20:08:56+00,2026-03-23 02:30:19.565666+00
7235,2121650,,1,{nexta_live},{unverified_media},"{""baltic,belarus_north""}",f,f,2026-03-21 21:20:11+00,2026-03-21 21:20:11+00,2026-03-23 02:30:19.317449+00
7234,2222694,,1,{nexta_live},{unverified_media},"{""baltic,belarus_north""}",f,f,2026-03-22 07:20:40+00,2026-03-22 07:20:40+00,2026-03-23 02:30:19.05229+00
7233,2233123,,1,{tass_ru},{russian_state},{global},t,f,2026-03-22 08:26:35+00,2026-03-22 08:26:35+00,2026-03-23 02:30:18.937275+00
7232,2238519,,1,{dva_majors},{ru_proxy},{global},t,f,2026-03-22 10:01:28+00,2026-03-22 10:01:28+00,2026-03-23 02:30:18.677747+00
7231,2253907,,1,{wartranslated},{trusted},{global},f,t,2026-03-22 11:38:41+00,2026-03-22 11:38:41+00,2026-03-23 02:30:18.162148+00
7230,2268663,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-22 13:30:44+00,2026-03-22 13:30:44+00,2026-03-23 02:30:17.857978+00
7229,2284715,,2,"{rusich_army,rybar}",{ru_proxy},{global},t,f,2026-03-22 13:01:01+00,2026-03-22 14:34:04+00,2026-03-23 02:30:17.537168+00
7228,2284817,,2,"{RVvoenkor,wargonzo}",{ru_proxy},{global},t,f,2026-03-21 09:02:02+00,2026-03-22 15:23:00+00,2026-03-23 02:30:17.307421+00
7227,2284843,,1,{montyan},{ru_proxy},{global},t,f,2026-03-22 15:56:36+00,2026-03-22 15:56:36+00,2026-03-23 02:30:17.115835+00
7226,2300115,,1,{insider_ua},{unverified_anonymous},{global},f,f,2026-03-22 17:56:09+00,2026-03-22 17:56:09+00,2026-03-23 02:30:16.811101+00
7225,2315856,,2,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-22 11:42:28+00,2026-03-22 19:40:16+00,2026-03-23 02:30:15.931726+00
7224,2315602,,2,"{insider_ua,uniannet}","{unverified_anonymous,unverified_media}",{global},f,f,2026-03-22 20:25:41+00,2026-03-22 20:28:42+00,2026-03-23 02:30:15.875846+00
7223,2331611,,1,{uniannet},{unverified_media},{global},f,f,2026-03-22 21:56:05+00,2026-03-22 21:56:05+00,2026-03-23 02:30:15.557048+00
7222,2342868,,1,{tvnet},{mainstream},{latvia},f,f,2026-03-22 22:00:00+00,2026-03-22 22:00:00+00,2026-03-23 02:30:15.447726+00
7221,2347004,,1,{colonel_cassad},{ru_proxy},{global},t,f,2026-03-22 23:20:08+00,2026-03-22 23:20:08+00,2026-03-23 02:30:15.387432+00
7220,2359089,,1,{postimees_et},{estonian_media},{estonia},f,t,2026-03-23 01:38:39+00,2026-03-23 01:38:39+00,2026-03-23 02:30:15.317306+00
7219,2136696,,1,{lv_portals},{government},"{""latvia,baltic""}",f,t,2026-03-11 23:00:00+00,2026-03-11 23:00:00+00,2026-03-23 00:30:33.352525+00
7218,72675,,1,"{""""}","{""""}",{kaliningrad},f,f,2026-03-14 03:15:00+00,2026-03-14 03:15:00+00,2026-03-23 00:30:33.235823+00
