site,quadrant,before_date,after_date,total_pixels,no_change,seasonal_melt,seasonal_freeze,infrastructure,potential_activity,seasonal_pct,nonseasonal_pct
Luga,NW,2026-02-01,2026-03-11,2512,7,2305,10,161,29,92.15764331210191,7.563694267515924
Luga,NE,2026-02-01,2026-03-11,2501,0,2424,15,62,0,97.52099160335865,2.4790083966413436
Luga,SW,2026-02-01,2026-03-11,2513,0,2473,2,38,0,98.48786311181854,1.5121368881814565
Luga,SE,2026-02-01,2026-03-11,2491,0,2360,13,118,0,95.26294660778804,4.737053392211963
Pskov-76VDV,NW,2026-02-01,2026-03-21,2501,0,2501,0,0,0,100.0,0.0
Pskov-76VDV,NE,2026-02-01,2026-03-21,2510,0,2458,0,50,2,97.92828685258964,2.0717131474103585
Pskov-76VDV,SW,2026-02-01,2026-03-21,2510,0,2456,0,54,0,97.84860557768924,2.151394422310757
Pskov-76VDV,SE,2026-02-01,2026-03-21,2508,0,2495,0,13,0,99.48165869218501,0.518341307814992
