site,quadrant,before_date,after_date,ndvi_delta_mean,ndvi_delta_median,ndvi_delta_stdDev,bsi_delta_mean,bsi_delta_median,bsi_delta_stdDev,ndbi_delta_mean,ndbi_delta_median,ndbi_delta_stdDev,fuel_ratio_delta_mean,fuel_ratio_delta_median,fuel_ratio_delta_stdDev,metal_ratio_delta_mean,metal_ratio_delta_median,metal_ratio_delta_stdDev,change_magnitude_median,change_magnitude_mean,change_magnitude_p90
Luga,NW,2026-02-01,2026-03-11,0.13310918734771576,0.12310288068126181,0.09644205718313116,0.26691055185139073,0.27937586530438724,0.0954615284114376,0.5711167879227964,0.5980828880196083,0.18015734156364124,0.49423814436949576,0.5124884239407311,0.25017503821265435,0.34671049688174566,0.203409284517947,0.4958411755567967,4707.26410762025,4900.098837812069,8486.756785973126
Luga,NE,2026-02-01,2026-03-11,0.12474660019911929,0.12733211133913988,0.08907084815809442,0.31535354016639056,0.32314240493511476,0.07589915999724735,0.6460287368689803,0.6700655575415483,0.15381898011080575,0.6134175355088595,0.6131877504174483,0.24652950398098664,0.2429157793823365,0.226317702772067,0.2466170785266823,5178.017996513167,5774.579398640583,9924.58731716464
Luga,SW,2026-02-01,2026-03-11,0.12492190199558659,0.12288725751735403,0.06927735287776385,0.2973053989660859,0.3027476861705762,0.07409370340796635,0.6300062976788617,0.6369336984429755,0.14681158795182997,0.5789474785472614,0.5515336131995727,0.2355605488366047,0.24897948882552018,0.22616139162400356,0.22087597148495627,5183.668086648887,5564.393588005744,9281.628451753035
Luga,SE,2026-02-01,2026-03-11,0.13331001055699745,0.13488957562540918,0.09808945432383406,0.3257689272507766,0.337954167464852,0.08882693612631212,0.6347438073194003,0.6677672189950979,0.18713578744269568,0.6205847887931989,0.6363816582095877,0.29077809887214806,0.28372520289621034,0.24149653387969502,0.3198247744928784,4292.916849063981,5198.616188114444,10043.028324100505
Pskov-76VDV,NW,2026-02-01,2026-03-21,0.22198108506992373,0.2207194339730432,0.08741526919676317,0.4637241707804607,0.46381789942297336,0.04856282127883098,0.8049406706088513,0.8298476476838127,0.10704149409404554,0.7294907538209098,0.7166279240402499,0.1666894112510153,0.6165071207606633,0.5664265971045481,0.326301903835472,6956.329196801154,7429.773986636907,12741.848172447937
Pskov-76VDV,NE,2026-02-01,2026-03-21,0.21911823659158383,0.2285677018013735,0.08601842202143394,0.4499065517135554,0.4589678451978027,0.07191714821356529,0.8190211207079824,0.8533011667288347,0.12411623638685823,0.727666009543334,0.7148566514464411,0.14358814807751238,0.5648298220731787,0.5825211595751574,0.2723516447462271,9307.751639726841,8688.34356978243,13018.543525554243
Pskov-76VDV,SW,2026-02-01,2026-03-21,0.2244092238916214,0.2325261423606882,0.0996823288475276,0.4338064562434739,0.450903638122605,0.07812875396140677,0.7489934115837267,0.7711721876774299,0.15386394923707067,0.6453926720809188,0.6761283189391939,0.19590020084810386,0.7228968177717391,0.6017291479830751,0.5436273485980834,5696.386282763153,6751.0339134427,12731.89982868177
Pskov-76VDV,SE,2026-02-01,2026-03-21,0.26468934677319444,0.2637018018808401,0.0917983807243432,0.4424831727127524,0.4593549338272532,0.08374908490543782,0.7452235917861778,0.7674978688967466,0.14777509432498476,0.5694307474584348,0.6209917954184623,0.1876025657502632,1.0114565837074767,0.797068847166189,0.7178729065642342,4014.8579343724628,5266.194921185212,10923.613957022297
